City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cassino,41.4876,13.8315,9.18,76,72,1.34,IT,1704767719
1,puerto natales,-51.7236,-72.4875,4.54,90,100,4.18,CL,1704767486
2,valparaiso,-33.0393,-71.6273,16.8,59,0,3.09,CL,1704767720
3,argo,37.6333,22.7333,9.32,80,100,1.68,GR,1704767720
4,anadyr,64.75,177.4833,-18.72,77,75,11.0,RU,1704767720
5,rongelap,11.1635,166.8941,26.87,75,98,7.89,MH,1704767721
6,broken hill,-31.95,141.4333,27.16,42,0,1.99,AU,1704767721
7,jamestown,42.097,-79.2353,2.77,93,100,3.09,US,1704767672
8,qarchi gak,37.04,66.7889,6.23,80,18,7.68,AF,1704767721
9,hamilton,39.1834,-84.5333,3.76,75,40,5.66,US,1704767603
10,georgetown,5.4112,100.3354,29.41,89,20,1.03,MY,1704767722
11,khandyga,62.6667,135.6,-43.18,99,99,0.52,RU,1704767722
12,ribeira grande,38.5167,-28.7,16.54,90,100,8.94,PT,1704767723
13,belyy yar,53.6039,91.3903,-14.06,85,100,0.0,RU,1704767723
14,ola,59.5833,151.2833,-22.06,77,100,1.72,RU,1704767598
15,edinburgh of the seven seas,-37.0676,-12.3116,18.34,97,100,11.48,SH,1704767724
16,ouargla,31.9493,5.325,6.04,49,0,1.54,DZ,1704767724
17,invercargill,-46.4,168.35,17.23,81,100,3.13,NZ,1704767724
18,coari,-4.085,-63.1414,24.93,85,100,1.6,BR,1704767725
19,san antonio de pale,-1.4014,5.6325,27.11,80,47,3.54,GQ,1704767725
20,port elizabeth,-33.918,25.5701,19.62,91,20,1.54,ZA,1704767725
21,blackmans bay,-43.0167,147.3167,21.96,54,0,1.34,AU,1704767725
22,huarmey,-10.0681,-78.1522,22.78,82,100,3.9,PE,1704767726
23,port-aux-francais,-49.35,70.2167,4.81,74,88,9.14,TF,1704767725
24,gornopravdinsk,60.05,69.9,-19.54,95,100,4.25,RU,1704767726
25,margaret river,-33.95,115.0667,22.4,54,3,7.42,AU,1704767433
26,celestun,20.8667,-90.4,26.53,59,72,6.63,MX,1704767727
27,weno,7.4515,151.8468,29.97,70,100,4.63,FM,1704767727
28,lompoc,34.6391,-120.4579,11.55,69,0,4.12,US,1704767727
29,dori,14.0354,-0.0345,22.2,15,1,3.51,BF,1704767728
30,fuman,37.2273,49.3142,15.1,27,100,5.36,IR,1704767728
